shutter_time,counts
1.11333e-05,42
2.22667e-05,53
3.34e-05,29
4.45333e-05,43
5.56667e-05,41
6.68e-05,42
7.79333e-05,34
8.90667e-05,39
0.0001002,33
0.000111333,46
0.000122467,44
0.0001336,48
0.000144733,31
0.000155867,46
0.000167,37
0.000178133,47
0.000189267,42
0.0002004,36
0.000211533,30
0.000222667,44
0.0002338,31
0.000244933,33
0.000256067,45
0.0002672,46
0.000278333,36
0.000289467,52
0.0003006,36
0.000311733,42
0.000322867,45
0.000334,36
0.000345133,30
0.000356267,40
0.0003674,47
0.000378533,43
0.000389667,48
0.0004008,49
0.000411933,39
0.000423067,37
0.0004342,41
0.000445333,38
0.000456467,34
0.0004676,40
0.000478733,43
0.000489867,42
0.000501,39
0.000512133,38
0.000523267,36
0.0005344,34
0.000545533,35
0.000556667,43
0.0005678,46
0.000578933,42
0.000590067,45
0.0006012,47
0.000612333,28
0.000623467,43
0.0006346,42
0.000645733,37
0.000656867,46
0.000668,44
0.000679133,43
0.000690267,28
0.0007014,49
0.000712533,36
0.000723667,43
0.0007348,30
0.000745933,37
0.000757067,28
0.0007682,50
0.000779333,39
0.000790467,37
0.0008016,26
0.000812733,24
0.000823867,45
0.000835,50
0.000846133,44
0.000857267,41
0.0008684,32
0.000879533,38
0.000890667,23
0.0009018,47
0.000912933,25
0.000924067,47
0.0009352,38
0.000946333,33
0.000957467,38
0.0009686,40
0.000979733,49
0.000990867,32
0.001002,33
0.00101313,37
0.00102427,32
0.0010354,49
0.00104653,37
0.00105767,43
0.0010688,44
0.00107993,41
0.00109107,37
0.0011022,37
0.00111333,34
0.00112447,37
0.0011356,37
0.00114673,52
0.00115787,45
0.001169,39
0.00118013,30
0.00119127,35
0.0012024,38
0.00121353,45
0.00122467,33
0.0012358,37
0.00124693,41
0.00125807,49
0.0012692,41
0.00128033,35
0.00129147,43
0.0013026,37
0.00131373,39
0.00132487,32
0.001336,44
0.00134713,29
0.00135827,40
0.0013694,38
0.00138053,32
0.00139167,31
0.0014028,46
0.00141393,39
0.00142507,34
0.0014362,39
0.00144733,32
0.00145847,44
0.0014696,45
0.00148073,34
0.00149187,31
0.001503,30
0.00151413,42
0.00152527,38
0.0015364,44
0.00154753,44
0.00155867,33
0.0015698,39
0.00158093,31
0.00159207,34
0.0016032,43
0.00161433,27
0.00162547,30
0.0016366,46
0.00164773,37
0.00165887,40
0.00167,36
0.00168113,42
0.00169227,35
0.0017034,30
0.00171453,36
0.00172567,42
0.0017368,31
0.00174793,34
0.00175907,39
0.0017702,42
0.00178133,46
0.00179247,33
0.0018036,43
0.00181473,47
0.00182587,31
0.001837,47
0.00184813,30
0.00185927,31
0.0018704,34
0.00188153,39
0.00189267,27
0.0019038,41
0.00191493,40
0.00192607,34
0.0019372,45
0.00194833,25
0.00195947,35
0.0019706,29
0.00198173,40
0.00199287,32
0.002004,44
0.00201513,44
0.00202627,41
0.0020374,54
0.00204853,30
0.00205967,45
0.0020708,34
0.00208193,34
0.00209307,32
0.0021042,48
0.00211533,29
0.00212647,40
0.0021376,36
0.00214873,29
0.00215987,45
0.002171,33
0.00218213,29
0.00219327,49
0.0022044,30
0.00221553,41
0.00222667,49
0.0022378,45
0.00224893,37
0.00226007,47
0.0022712,33
0.00228233,44
0.00229347,35
0.0023046,43
0.00231573,36
0.00232687,49
0.002338,40
0.00234913,39
0.00236027,44
0.0023714,36
0.00238253,31
0.00239367,40
0.0024048,38
0.00241593,34
0.00242707,35
0.0024382,34
0.00244933,48
0.00246047,33
0.0024716,32
0.00248273,43
0.00249387,38
0.002505,49
0.00251613,37
0.00252727,38
0.0025384,50
0.00254953,32
0.00256067,34
0.0025718,28
0.00258293,43
0.00259407,33
0.0026052,51
0.00261633,47
0.00262747,39
0.0026386,46
0.00264973,39
0.00266087,33
0.002672,32
0.00268313,30
0.00269427,42
0.0027054,35
0.00271653,43
0.00272767,46
0.0027388,38
0.00274993,35
0.00276107,43
0.0027722,29
0.00278333,46
